Cellid,X,Y,W,H,cX,cY,Aera
5745,10553,3040,1,1,10553,3040,1
5746,5553,3043,1,1,5553,3043,1
5747,5995,3042,1,1,5995,3042,1
5748,6612,3042,1,1,6612,3042,1
5749,6614,3042,1,1,6614,3042,1
5750,7552,3043,6,7,7554.380952,3046.857143,21
5751,7559,3042,1,1,7559,3042,1
5752,10163,3042,1,1,10163,3042,1
5753,10172,3043,1,1,10172,3043,1
5754,10104,3042,215,110,10208.61402,3100.55249,16708
5755,10183,3043,1,1,10183,3043,1
5756,10564,3042,1,1,10564,3042,1
5757,4706,3044,1,1,4706,3044,1
5758,4708,3044,1,1,4708,3044,1
5759,4755,3045,1,1,4755,3045,1
5760,4757,3045,1,1,4757,3045,1
5761,4863,3044,1,1,4863,3044,1
5762,7559,3045,1,1,7559,3045,1
5763,10162,3044,2,1,10162.5,3044,2
5764,10181,3044,1,1,10181,3044,1
5765,10469,3045,2,3,10469.5,3046,6
5766,10554,3045,1,1,10554,3045,1
5767,4709,3046,1,1,4709,3046,1
5768,4757,3047,1,1,4757,3047,1
5769,4759,3047,1,1,4759,3047,1
5770,4868,3047,1,1,4868,3047,1
5771,5995,3046,1,1,5995,3046,1
5772,6809,3047,1,1,6809,3047,1
5773,7564,3046,2,4,7564.5,3047.5,8
5774,10541,3047,1,1,10541,3047,1
5775,4723,3049,2,3,4723.666667,3050,3
5776,4754,3049,4,5,4755.538462,3051.230769,13
5777,5628,3048,1,1,5628,3048,1
5778,6544,3048,1,2,6544,3048.5,2
5779,9400,3048,1,1,9400,3048,1
5780,10155,3049,1,1,10155,3049,1
5781,10193,3048,3,2,10194,3048.5,6
5782,10259,3049,1,1,10259,3049,1
5783,10261,3048,1,1,10261,3048,1
5784,10286,3048,1,1,10286,3048,1
5785,10289,3049,1,1,10289,3049,1
5786,10543,3049,1,1,10543,3049,1
5787,4744,3050,1,1,4744,3050,1
5788,4759,3050,1,1,4759,3050,1
5789,6862,3050,2,2,6862.5,3050.5,4
5790,9403,3051,1,1,9403,3051,1
5791,9479,3051,1,1,9479,3051,1
5792,10152,3051,1,1,10152,3051,1
5793,10262,3051,1,1,10262,3051,1
5794,10274,3050,1,1,10274,3050,1
5795,10287,3050,1,1,10287,3050,1
5796,10294,3050,1,1,10294,3050,1
5797,4729,3053,1,1,4729,3053,1
5798,4751,3053,2,3,4751.75,3053.75,4
5799,6811,3053,1,1,6811,3053,1
5800,6855,3052,1,1,6855,3052,1
5801,7557,3053,1,2,7557,3053.5,2
5802,10294,3053,2,2,10294.66667,3053.666667,3
5803,4720,3055,1,1,4720,3055,1
5804,4724,3055,1,1,4724,3055,1
5805,4727,3054,1,1,4727,3054,1
5806,4737,3054,2,1,4737.5,3054,2
5807,4747,3055,1,1,4747,3055,1
5808,4750,3055,1,1,4750,3055,1
5809,4754,3055,3,1,4755,3055,3
5810,5555,3055,1,1,5555,3055,1
5811,6804,3054,2,2,6804.5,3054.5,4
5812,6862,3054,2,2,6862.5,3054.5,4
5813,7552,3055,1,1,7552,3055,1
5814,7559,3055,1,1,7559,3055,1
5815,10257,3055,1,1,10257,3055,1
5816,4729,3056,1,2,4729,3056.5,2
5817,5560,3057,1,1,5560,3057,1
5818,9475,3057,1,2,9475,3057.5,2
5819,10122,3056,1,1,10122,3056,1
5820,10130,3056,2,1,10130.5,3056,2
5821,10136,3056,2,2,10136.5,3056.5,2
5822,10199,3057,1,1,10199,3057,1
5823,10256,3057,2,2,10256.5,3057.5,2
5824,10295,3057,1,1,10295,3057,1
5825,10297,3056,1,1,10297,3056,1
5826,10302,3056,2,2,10302.5,3056.5,4
5827,10547,3057,1,1,10547,3057,1
5828,4740,3058,3,1,4741,3058,3
5829,6554,3059,1,1,6554,3059,1
5830,8405,3058,1,1,8405,3058,1
5831,10120,3058,1,1,10120,3058,1
5832,4741,3061,2,1,4741.5,3061,2
5833,5629,3060,2,3,5629.666667,3061,3
5834,5986,3061,1,1,5986,3061,1
5835,6597,3061,1,1,6597,3061,1
5836,8402,3060,1,1,8402,3060,1
5837,8384,3061,72,80,8418.641316,3100.200647,3708
5838,10457,3061,1,1,10457,3061,1
5839,4736,3063,1,1,4736,3063,1
5840,6595,3062,1,1,6595,3062,1
5841,6843,3062,1,1,6843,3062,1
5842,10459,3063,1,1,10459,3063,1
5843,5631,3065,1,1,5631,3065,1
5844,6335,3065,1,1,6335,3065,1
5845,6842,3064,2,2,6842.5,3064.5,4
5846,10308,3064,1,1,10308,3064,1
5847,10452,3065,1,1,10452,3065,1
5848,10551,3064,1,1,10551,3064,1
5849,10568,3065,1,1,10568,3065,1
5850,10570,3064,1,1,10570,3064,1
5851,6323,3067,2,1,6323.5,3067,2
5852,6331,3067,1,1,6331,3067,1
5853,8392,3066,1,1,8392,3066,1
5854,8429,3066,2,1,8429.5,3066,2
5855,10206,3066,2,2,10206.5,3066.5,4
5856,10307,3066,1,1,10307,3066,1
5857,6302,3069,71,60,6334.881046,3099.427778,3060
5858,6334,3069,1,1,6334,3069,1
5859,10308,3068,2,2,10308.33333,3068.666667,3
5860,10451,3068,5,6,10452.47059,3070,17
5861,10571,3068,1,1,10571,3068,1
5862,9476,3071,1,1,9476,3071,1
5863,5570,3073,1,1,5570,3073,1
5864,6308,3072,2,2,6308.5,3072.5,4
5865,6356,3072,1,1,6356,3072,1
5866,6359,3072,1,1,6359,3072,1
5867,7547,3072,1,1,7547,3072,1
5868,7553,3073,1,1,7553,3073,1
5869,7555,3073,1,1,7555,3073,1
5870,7655,3072,1,1,7655,3072,1
5871,8437,3072,2,2,8437.5,3072.5,2
5872,9520,3072,1,1,9520,3072,1
5873,10231,3072,1,1,10231,3072,1
5874,10448,3073,1,1,10448,3073,1
5875,10455,3072,1,1,10455,3072,1
5876,5575,3075,1,2,5575,3075.5,2
5877,7559,3074,1,1,7559,3074,1
5878,7653,3074,1,1,7653,3074,1
5879,9469,3074,1,1,9469,3074,1
5880,9514,3074,1,1,9514,3074,1
5881,10105,3075,1,1,10105,3075,1
5882,10443,3075,1,1,10443,3075,1
5883,7540,3076,4,2,7541.5,3076.5,8
5884,7527,3077,42,64,7551.458146,3106.732673,1111
5885,7558,3076,1,1,7558,3076,1
5886,7654,3077,2,1,7654.5,3077,2
5887,9488,3076,54,61,9514.432133,3107.495845,2527
5888,9527,3076,1,1,9527,3076,1
5889,7537,3079,2,2,7537.5,3079.5,2
5890,9470,3078,1,1,9470,3078,1
5891,10579,3079,2,1,10579.5,3079,2
5892,3948,3081,1,1,3948,3081,1
5893,6304,3080,4,2,6305.5,3080.5,8
5894,6363,3081,1,1,6363,3081,1
5895,7563,3080,1,1,7563,3080,1
5896,7601,3081,1,1,7601,3081,1
5897,8441,3080,1,1,8441,3080,1
5898,8446,3081,2,2,8446.5,3081.5,2
5899,9470,3080,2,2,9470.5,3080.5,4
5900,9496,3080,1,1,9496,3080,1
5901,9498,3080,1,1,9498,3080,1
5902,10316,3081,1,1,10316,3081,1
5903,10435,3081,1,1,10435,3081,1
5904,3950,3082,1,3,3950,3083,3
5905,5581,3083,1,2,5581,3083.5,2
5906,5631,3082,1,1,5631,3082,1
5907,7601,3083,2,2,7601.5,3083.5,4
5908,8387,3083,1,1,8387,3083,1
5909,10318,3083,1,1,10318,3083,1
5910,3948,3084,1,1,3948,3084,1
5911,6366,3084,1,1,6366,3084,1
5912,7548,3084,1,1,7548,3084,1
5913,7550,3085,1,1,7550,3085,1
5914,7565,3084,1,1,7565,3084,1
5915,9416,3085,1,1,9416,3085,1
